FG,Pos,AST,G,Player,Age,BLK,PTS,FTA,TOV,TRB,StartYr,EndYr,SalStartYr,SalEndYr,Salary,salary_cap,salary_cap_adjusted,years_of_exp,Per_salary_cap
6.9,SG,2.4,67,Dell Curry,25,0.4,16.0,1.6,1.5,2.5,1989,1990,1990,1991,900000.0,9802000,19182059,0,0.09181799632728015
3.2,SG,1.1,30,Quintin Dailey,29,0.0,8.2,2.2,1.1,1.7,1989,1990,1990,1991,425000.0,9802000,19182059,0,0.04335849826566007
5.1,SF,1.8,45,Adrian Dantley,34,0.2,14.7,5.6,1.7,3.8,1989,1990,1990,1991,400000.0,9802000,19182059,0,0.040807998367680065
6.0,C,3.2,41,Brad Daugherty,24,0.5,16.8,7.0,2.7,9.1,1989,1990,1990,1991,1320000.0,9802000,19182059,0,0.1346663946133442
2.5,PG,3.3,73,Brad Davis,34,0.1,6.4,1.4,1.2,1.3,1989,1990,1990,1991,600000.0,9802000,19182059,0,0.0612119975515201
1.9,PF,0.4,63,Terry Davis,22,0.4,4.7,1.4,1.1,3.6,1989,1990,1990,1991,250000.0,9802000,19182059,0,0.02550499897980004
7.2,SG,2.2,69,Walter Davis,35,0.1,17.5,3.3,1.5,2.6,1989,1990,1990,1991,900000.0,9802000,19182059,0,0.09181799632728015
5.7,PG,7.4,81,Johnny Dawkins,26,0.1,14.3,3.0,2.6,3.0,1989,1990,1990,1991,1500000.0,9802000,19182059,0,0.15302999387880026
3.3,C,0.9,82,Vlade Divac,21,1.4,8.5,2.6,1.3,6.2,1989,1990,1990,1991,770000.0,9802000,19182059,0,0.07855539685778412
3.5,C,0.8,73,James Donaldson,32,0.6,9.1,2.9,1.6,8.6,1989,1990,1990,1991,880000.0,9802000,19182059,0,0.08977759640889614
5.7,PG,7.6,81,Sherman Douglas,23,0.1,14.3,4.0,3.0,2.5,1989,1990,1990,1991,325000.0,9802000,19182059,0,0.033156498673740056
0.4,C,0.2,49,Greg Dreiling,27,0.3,1.3,0.7,0.4,1.8,1989,1990,1990,1991,300000.0,9802000,19182059,0,0.03060599877576005
2.1,PG,2.7,80,Larry Drew,31,0.1,5.2,0.8,1.2,1.2,1989,1990,1990,1991,550000.0,9802000,19182059,0,0.05611099775556009
9.2,SG,5.9,73,Clyde Drexler,27,0.7,23.3,5.9,2.6,6.9,1989,1990,1990,1991,1180000.0,9802000,19182059,0,0.12038359518465619
6.7,C,1.1,82,Kevin Duckworth,25,0.4,16.2,3.8,2.1,6.2,1989,1990,1990,1991,1710000.0,9802000,19182059,0,0.17445419302183227
2.3,PF,0.6,64,Chris Dudley,24,1.1,5.5,2.8,1.3,6.6,1989,1990,1990,1991,950000.0,9802000,19182059,0,0.09691899612324016
6.8,SG,4.9,75,Joe Dumars,26,0.0,17.8,4.4,1.9,2.8,1989,1990,1990,1991,1035000.0,9802000,19182059,0,0.10559069577637217
5.3,SG,2.3,78,Ledell Eackles,23,0.1,13.5,3.6,1.8,2.2,1989,1990,1990,1991,605000.0,9802000,19182059,0,0.0617220975311161
1.9,C,0.5,82,Mark Eaton,33,2.5,4.8,1.4,0.9,7.3,1989,1990,1990,1991,2000000.0,9802000,19182059,0,0.20403999183840033
3.5,SF,1.8,82,Blue Edwards,24,0.4,8.9,2.5,1.9,3.1,1989,1990,1990,1991,360000.0,9802000,19182059,0,0.03672719853091206
5.6,C,0.8,82,James Edwards,34,0.5,14.5,4.3,1.6,4.2,1989,1990,1990,1991,935000.0,9802000,19182059,0,0.09538869618445216
5.1,SG,3.2,78,Kevin Edwards,24,0.4,12.0,2.3,2.3,3.6,1989,1990,1990,1991,425000.0,9802000,19182059,0,0.04335849826566007
5.4,SG,4.6,81,Craig Ehlo,28,0.3,13.6,2.3,2.0,5.4,1989,1990,1990,1991,925000.0,9802000,19182059,0,0.09436849622526015
3.8,SF,1.9,81,Sean Elliott,21,0.2,10.0,2.7,1.4,3.7,1989,1990,1990,1991,1800000.0,9802000,19182059,0,0.1836359926545603
9.1,SG,2.0,55,Dale Ellis,29,0.1,23.5,4.3,2.2,4.3,1989,1990,1990,1991,1250000.0,9802000,19182059,0,0.1275249948990002
3.3,C,1.9,34,Pervis Ellison,22,1.7,8.0,2.3,1.8,5.8,1989,1990,1990,1991,2300000.0,9802000,19182059,0,0.2346459906141604
7.9,SF,2.8,80,Alex English,36,0.3,17.9,2.3,1.2,3.6,1989,1990,1990,1991,1500000.0,9802000,19182059,0,0.15302999387880026
11.2,C,2.2,82,Patrick Ewing,27,4.0,28.6,7.9,3.4,10.9,1989,1990,1990,1991,4250000.0,9802000,19182059,0,0.43358498265660067
0.4,SF,0.1,14,Duane Ferrell,24,0.0,0.9,0.4,0.1,0.5,1989,1990,1990,1991,125000.0,9802000,19182059,0,0.01275249948990002
5.7,PG,7.4,82,Vern Fleming,27,0.1,14.3,3.6,2.5,3.9,1989,1990,1990,1991,667000.0,9802000,19182059,0,0.06804733727810651
4.4,PG,7.3,82,Sleepy Floyd,29,0.1,12.2,2.8,2.5,2.4,1989,1990,1990,1991,1400000.0,9802000,19182059,0,0.14282799428688023
1.9,SF,1.7,71,Kevin Gamble,24,0.1,5.1,1.5,0.6,1.6,1989,1990,1990,1991,375000.0,9802000,19182059,0,0.038257498469700064
2.9,PG,3.8,79,Winston Garland,25,0.1,7.3,1.5,2.0,2.7,1989,1990,1990,1991,450000.0,9802000,19182059,0,0.04590899816364007
2.8,SG,4.0,73,Tom Garrick,23,0.1,7.0,1.6,1.6,2.2,1989,1990,1990,1991,340000.0,9802000,19182059,0,0.034686798612528054
2.3,PF,0.6,63,Kenny Gattison,25,0.5,5.9,1.7,1.1,3.1,1989,1990,1990,1991,355000.0,9802000,19182059,0,0.03621709855131606
4.4,PF,0.4,21,Derrick Gervin,26,0.3,12.0,4.2,0.6,3.1,1989,1990,1990,1991,155000.0,9802000,19182059,0,0.015813099367476026
6.4,PF,1.3,76,Armen Gilliam,25,0.7,16.7,5.5,2.4,7.9,1989,1990,1990,1991,1200000.0,9802000,19182059,0,0.1224239951030402
5.7,C,1.6,81,Mike Gminski,30,1.3,13.7,2.9,1.2,8.5,1989,1990,1990,1991,1650000.0,9802000,19182059,0,0.16833299326668028
5.5,PG,10.0,44,Gary Grant,24,0.1,13.1,2.6,4.7,4.4,1989,1990,1990,1991,530000.0,9802000,19182059,0,0.05407059783717608
1.2,PG,2.5,67,Greg Grant,23,0.0,3.1,0.9,1.1,0.9,1989,1990,1990,1991,300000.0,9802000,19182059,0,0.03060599877576005
3.5,PF,1.6,81,Harvey Grant,24,0.5,8.2,1.7,1.0,4.2,1989,1990,1990,1991,475000.0,9802000,19182059,0,0.04845949806162008
5.6,PF,2.8,80,Horace Grant,24,1.1,13.4,3.2,1.4,7.9,1989,1990,1990,1991,1000000.0,9802000,19182059,0,0.10201999591920016
3.2,SF,1.5,71,Jeff Grayer,24,0.1,7.7,2.1,1.2,3.1,1989,1990,1990,1991,605000.0,9802000,19182059,0,0.0617220975311161
4.7,PF,1.1,82,A.C. Green,26,0.6,12.9,4.5,1.4,8.7,1989,1990,1990,1991,1750000.0,9802000,19182059,0,0.17853499285860028
1.4,PG,2.6,69,Rickey Green,35,0.0,3.5,0.7,0.9,0.8,1989,1990,1990,1991,120000.0,9802000,19182059,0,0.012242399510304019
4.3,C,1.4,73,Sidney Green,29,0.4,10.4,2.9,1.6,8.1,1989,1990,1990,1991,837000.0,9802000,19182059,0,0.08539073658437053
0.6,PF,0.3,37,Dave Greenwood,32,0.2,1.6,0.8,0.4,2.1,1989,1990,1990,1991,650000.0,9802000,19182059,0,0.06631299734748011
3.7,SG,0.8,82,Darrell Griffith,31,0.2,8.9,1.0,0.9,2.0,1989,1990,1990,1991,850000.0,9802000,19182059,0,0.08671699653132015
2.0,PG,1.9,43,Scott Haffner,23,0.0,4.6,0.6,0.8,1.2,1989,1990,1990,1991,75000.0,9802000,19182059,0,0.007651499693940012
2.1,PF,0.4,67,Jack Haley,26,0.2,5.4,1.9,1.1,4.5,1989,1990,1990,1991,360000.0,9802000,19182059,0,0.03672719853091206
2.1,PF,0.8,61,Tom Hammonds,22,0.2,5.3,1.6,0.8,2.8,1989,1990,1990,1991,800000.0,9802000,19182059,0,0.08161599673536013
3.3,SG,1.8,81,Bob Hansen,29,0.1,7.6,0.8,1.0,2.8,1989,1990,1990,1991,550000.0,9802000,19182059,0,0.05611099775556009
2.2,PF,2.3,81,Bill Hanzlik,32,0.4,6.2,2.3,1.1,2.6,1989,1990,1990,1991,510000.0,9802000,19182059,0,0.052030197918792084
5.9,PG,8.7,79,Tim Hardaway,23,0.2,14.7,3.5,3.3,3.9,1989,1990,1990,1991,500000.0,9802000,19182059,0,0.05100999795960008
6.9,PG,7.4,82,Derek Harper,28,0.3,18.0,3.8,2.5,3.0,1989,1990,1990,1991,1519000.0,9802000,19182059,0,0.15496837380126505
8.6,SG,5.2,35,Ron Harper,26,1.2,22.8,6.6,2.9,5.9,1989,1990,1990,1991,1365000.0,9802000,19182059,0,0.13925729442970822
0.3,PF,0.2,40,Scott Hastings,29,0.1,1.1,0.6,0.2,0.8,1989,1990,1990,1991,450000.0,9802000,19182059,0,0.04590899816364007
6.4,SG,3.2,82,Hersey Hawkins,23,0.3,18.5,5.3,2.3,3.7,1989,1990,1990,1991,1000000.0,9802000,19182059,0,0.10201999591920016
0.9,PG,1.3,57,Gerald Henderson,34,0.0,2.4,0.3,0.4,0.8,1989,1990,1990,1991,125000.0,9802000,19182059,0,0.01275249948990002
3.7,PF,1.6,82,Rod Higgins,30,0.6,11.1,3.5,1.1,5.1,1989,1990,1990,1991,500000.0,9802000,19182059,0,0.05100999795960008
5.8,PF,0.9,25,Roy Hinson,28,1.1,15.0,4.0,2.1,6.9,1989,1990,1990,1991,1250000.0,9802000,19182059,0,0.1275249948990002
2.3,SG,1.7,63,Craig Hodges,29,0.0,6.5,0.5,0.5,0.8,1989,1990,1990,1991,600000.0,9802000,19182059,0,0.0612119975515201
1.6,C,0.6,10,Dave Hoppen,25,0.1,4.0,1.0,0.8,3.6,1989,1990,1990,1991,400000.0,9802000,19182059,0,0.040807998367680065
6.0,SG,1.9,79,Dennis Hopson,24,0.6,15.8,4.3,2.1,3.5,1989,1990,1990,1991,915000.0,9802000,19182059,0,0.09334829626606815
7.2,SG,5.0,67,Jeff Hornacek,26,0.2,17.6,3.0,1.9,4.7,1989,1990,1990,1991,1100000.0,9802000,19182059,0,0.11222199551112018
6.1,PG,5.8,81,Jay Humphries,27,0.1,15.3,3.5,1.9,3.3,1989,1990,1990,1991,650000.0,9802000,19182059,0,0.06631299734748011
1.9,SG,0.9,50,Byron Irvin,23,0.0,5.2,1.8,0.8,1.5,1989,1990,1990,1991,375000.0,9802000,19182059,0,0.038257498469700064
4.0,PG,7.4,82,Mark Jackson,24,0.0,9.9,2.0,2.6,3.9,1989,1990,1990,1991,1785000.0,9802000,19182059,0,0.1821056927157723
1.0,PG,3.1,53,Avery Johnson,24,0.0,2.6,0.8,0.9,0.8,1989,1990,1990,1991,50000.0,9802000,19182059,0,0.005100999795960008
6.1,SF,3.1,82,Buck Johnson,26,0.8,14.8,3.3,2.0,4.6,1989,1990,1990,1991,675000.0,9802000,19182059,0,0.0688634972454601
6.4,SF,1.7,64,Eddie Johnson,30,0.2,16.9,3.2,1.7,3.8,1989,1990,1990,1991,1000000.0,9802000,19182059,0,0.10201999591920016
7.8,PG,11.4,74,Kevin Johnson,23,0.2,22.5,8.1,3.6,3.6,1989,1990,1990,1991,1750000.0,9802000,19182059,0,0.17853499285860028
6.9,PG,11.5,79,Magic Johnson,30,0.4,22.3,8.1,3.7,6.6,1989,1990,1990,1991,2400000.0,9802000,19182059,0,0.2448479902060804
4.1,SG,3.1,82,Vinnie Johnson,33,0.2,9.8,2.4,1.5,3.1,1989,1990,1990,1991,1400000.0,9802000,19182059,0,0.14282799428688023
