,SalStartYr,Salary,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,years_of_exp,salary_cap,Per_of_Salary_Cap
7666,2001,3600000.0,0.0,5.7,0.2,1.2,0.189,0.0,0.0,0.0,0.2,1.2,0.192,0.189,0.2,0.4,0.5,0.4,0.8,1.2,0.1,0.1,0.2,0.2,1.0,0.6,4,42500000,0.08470588235294117
7668,2001,4500000.0,48.0,21.3,3.6,7.1,0.503,0.1,0.2,0.308,3.5,6.9,0.507,0.506,2.2,2.6,0.833,1.5,3.2,4.7,1.6,0.9,0.6,1.8,3.1,9.3,8,42500000,0.10588235294117647
7669,2001,3755142.0,74.0,31.5,5.0,10.4,0.477,0.7,1.8,0.367,4.3,8.6,0.499,0.508,2.3,3.4,0.698,2.2,5.6,7.8,1.4,0.5,2.6,1.2,3.7,12.9,2,42500000,0.08835628235294117
7670,2001,1604880.0,5.0,17.2,2.1,4.8,0.431,0.8,1.9,0.411,1.3,2.9,0.444,0.513,1.0,1.2,0.895,0.2,1.2,1.4,1.2,0.6,0.1,0.8,1.8,6.0,1,42500000,0.03776188235294118
7671,2001,465850.0,0.0,7.3,1.1,3.0,0.374,0.0,0.0,0.0,1.1,3.0,0.378,0.374,0.5,0.9,0.552,0.4,0.8,1.2,0.1,0.2,0.0,0.2,0.5,2.7,0,42500000,0.010961176470588235
7672,2001,4252435.0,58.0,29.1,4.2,10.6,0.397,1.8,4.8,0.385,2.4,5.8,0.407,0.484,1.9,2.4,0.797,0.6,2.3,2.9,2.4,0.8,0.2,1.3,2.1,12.2,5,42500000,0.10005729411764706
7673,2001,1070280.0,2.0,11.5,1.4,3.5,0.407,0.3,0.7,0.36,1.2,2.8,0.418,0.443,0.4,0.6,0.714,0.4,0.9,1.3,0.5,0.3,0.3,0.5,2.2,3.5,1,42500000,0.025183058823529413
7674,2001,4413375.0,78.0,34.9,5.5,11.4,0.48,1.6,3.7,0.432,3.9,7.7,0.503,0.55,2.3,2.7,0.826,1.8,5.1,6.9,1.6,1.2,0.6,1.7,2.4,14.8,2,42500000,0.10384411764705882
7677,2001,2400000.0,27.0,22.8,2.1,4.8,0.439,0.1,0.2,0.267,2.1,4.6,0.447,0.445,1.7,2.4,0.713,1.2,3.0,4.2,1.3,1.1,0.2,0.9,2.4,6.0,12,42500000,0.05647058823529412
7680,2001,1700000.0,1.0,12.3,1.3,3.1,0.427,0.3,0.9,0.324,1.0,2.2,0.47,0.474,0.5,0.6,0.792,0.1,0.7,0.8,1.2,0.5,0.0,0.7,1.4,3.4,2,42500000,0.04
7681,2001,2400000.0,80.0,32.3,3.3,7.5,0.445,0.2,0.7,0.263,3.2,6.8,0.463,0.457,1.5,2.1,0.719,2.4,4.8,7.2,1.7,1.2,0.4,1.3,2.7,8.4,7,42500000,0.05647058823529412
7683,2001,965850.0,1.0,9.5,1.3,2.5,0.5,0.3,0.3,1.0,1.0,2.3,0.444,0.55,1.1,1.5,0.75,0.9,1.4,2.3,0.5,0.6,0.1,1.3,1.1,3.9,8,42500000,0.022725882352941176
7684,2001,759960.0,3.0,9.2,0.8,1.6,0.487,0.0,0.0,1.0,0.8,1.6,0.482,0.491,0.4,0.5,0.703,1.1,1.1,2.2,0.3,0.1,0.1,0.4,1.6,2.0,0,42500000,0.017881411764705882
7685,2001,1448400.0,9.0,19.7,3.3,7.1,0.462,0.2,0.8,0.304,3.0,6.2,0.483,0.479,3.2,4.2,0.774,1.3,2.9,4.2,1.2,0.5,0.1,1.5,2.0,10.0,1,42500000,0.03408
7686,2001,1048080.0,0.0,14.8,1.6,3.7,0.45,0.0,0.0,0.0,1.6,3.6,0.454,0.45,1.3,2.0,0.655,1.4,2.6,4.0,0.4,0.2,1.1,0.8,1.9,4.6,0,42500000,0.024660705882352942
